Borough,Category,Count,Total,Percentage
Manhattan,Bar,10601,109625,9.67023945267959
Manhattan,Office,9914,109625,9.043557582668187
Manhattan,Gym / Fitness Center,5886,109625,5.36921322690992
Manhattan,Coffee Shop,4873,109625,4.44515393386545
Manhattan,Subway,3307,109625,3.016647662485747
Manhattan,Park,2854,109625,2.6034207525655644
Manhattan,Train Station,2732,109625,2.492132269099202
Manhattan,Food & Drink Shop,2656,109625,2.4228050171037627
Manhattan,Hotel,2293,109625,2.0916761687571266
Manhattan,Clothing Store,2280,109625,2.07981755986317
Manhattan,American Restaurant,2189,109625,1.9968072976054732
Manhattan,Deli / Bodega,2185,109625,1.9931584948688712
Manhattan,Home (private),2177,109625,1.985860889395667
Manhattan,Building,1905,109625,1.7377423033067274
Manhattan,College Academic Building,1785,109625,1.628278221208666
Manhattan,Residential Building (Apartment / Condo),1660,109625,1.5142531356898519
Manhattan,Bus Station,1513,109625,1.3801596351197263
Manhattan,Mexican Restaurant,1459,109625,1.3309007981755987
Manhattan,Neighborhood,1442,109625,1.31539338654504
Manhattan,Other Great Outdoors,1424,109625,1.2989737742303307
Bronx,Home (private),1087,9530,11.406086044071353
Bronx,Subway,993,9530,10.419727177334732
Bronx,Neighborhood,540,9530,5.6663168940188875
Bronx,Bus Station,428,9530,4.491080797481637
Bronx,Residential Building (Apartment / Condo),337,9530,3.5362014690451207
Bronx,Medical Center,308,9530,3.2318992654774394
Bronx,Train Station,290,9530,3.04302203567681
Bronx,Stadium,281,9530,2.948583420776495
Bronx,Bar,278,9530,2.91710388247639
Bronx,Food & Drink Shop,274,9530,2.875131164742917
Bronx,Building,273,9530,2.8646379853095487
Bronx,Deli / Bodega,260,9530,2.728226652675761
Bronx,Gym / Fitness Center,240,9530,2.5183630640083945
Bronx,Other Great Outdoors,201,9530,2.1091290661070303
Bronx,School,198,9530,2.0776495278069254
Bronx,College Academic Building,194,9530,2.0356768100734524
Bronx,Office,172,9530,1.8048268625393493
Bronx,Park,154,9530,1.6159496327387197
Bronx,Road,134,9530,1.4060860440713536
Bronx,Pizza Place,128,9530,1.3431269674711437
Brooklyn,Home (private),2587,24877,10.399163886320698
Brooklyn,Subway,2553,24877,10.262491457973228
Brooklyn,Bar,1139,24877,4.57852634964023
Brooklyn,Neighborhood,1062,24877,4.2690034972062545
Brooklyn,Food & Drink Shop,858,24877,3.4489689271214377
Brooklyn,Gym / Fitness Center,791,24877,3.1796438477308357
Brooklyn,Residential Building (Apartment / Condo),758,24877,3.0469911966877037
Brooklyn,Park,704,24877,2.829923222253487
Brooklyn,Coffee Shop,632,24877,2.5404992563411986
Brooklyn,Bus Station,629,24877,2.5284399244281865
Brooklyn,Train Station,595,24877,2.391767496080717
Brooklyn,Office,562,24877,2.259114845037585
Brooklyn,Deli / Bodega,522,24877,2.0983237528640912
Brooklyn,Other Great Outdoors,434,24877,1.7445833500824055
Brooklyn,College Academic Building,414,24877,1.6641878039956586
Brooklyn,Medical Center,370,24877,1.4873176026048156
Brooklyn,Pizza Place,334,24877,1.3426056196486715
Brooklyn,Drugstore / Pharmacy,328,24877,1.3184869558226475
Brooklyn,American Restaurant,312,24877,1.25417051895325
Brooklyn,Building,305,24877,1.2260320778228886
Queens,Home (private),3469,35280,9.832766439909298
Queens,Airport,2307,35280,6.539115646258503
Queens,Subway,2037,35280,5.773809523809524
Queens,Bar,2024,35280,5.736961451247166
Queens,Food & Drink Shop,1256,35280,3.560090702947846
Queens,Bus Station,1129,35280,3.200113378684807
Queens,Neighborhood,1117,35280,3.1660997732426304
Queens,Train Station,1060,35280,3.00453514739229
Queens,Other Great Outdoors,968,35280,2.743764172335601
Queens,Coffee Shop,935,35280,2.6502267573696145
Queens,Deli / Bodega,770,35280,2.1825396825396823
Queens,Gym / Fitness Center,733,35280,2.0776643990929706
Queens,Road,731,35280,2.0719954648526078
Queens,Office,608,35280,1.7233560090702948
Queens,Residential Building (Apartment / Condo),596,35280,1.689342403628118
Queens,Pizza Place,567,35280,1.6071428571428572
Queens,Chinese Restaurant,521,35280,1.4767573696145124
Queens,Gas Station / Garage,412,35280,1.1678004535147393
Queens,Medical Center,410,35280,1.1621315192743764
Queens,Salon / Barbershop,409,35280,1.159297052154195
Staten Island,Home (private),339,2550,13.294117647058824
Staten Island,Ferry,160,2550,6.2745098039215685
Staten Island,Other Great Outdoors,143,2550,5.607843137254902
Staten Island,Bus Station,118,2550,4.627450980392157
Staten Island,Beach,115,2550,4.509803921568627
Staten Island,Medical Center,111,2550,4.352941176470588
Staten Island,Road,79,2550,3.0980392156862746
Staten Island,Coffee Shop,72,2550,2.823529411764706
Staten Island,College Academic Building,65,2550,2.549019607843137
Staten Island,Salon / Barbershop,52,2550,2.0392156862745097
Staten Island,Food & Drink Shop,46,2550,1.803921568627451
Staten Island,Park,45,2550,1.7647058823529411
Staten Island,Office,45,2550,1.7647058823529411
Staten Island,Bar,44,2550,1.7254901960784315
Staten Island,Deli / Bodega,43,2550,1.6862745098039216
Staten Island,Sushi Restaurant,42,2550,1.6470588235294117
Staten Island,General College & University,42,2550,1.6470588235294117
Staten Island,Bank,42,2550,1.6470588235294117
Staten Island,Bookstore,36,2550,1.411764705882353
Staten Island,Train Station,36,2550,1.411764705882353
